Time,S1_N,S2_N,S3_N,S4_N,Total_N,Accel_X,Accel_Y,Accel_Z,Real_Hz
01:40.3,0,0.3,6.34,1.37,8.01,0.71,9.18,6,5
01:40.4,0,0.7,8.16,2.27,11.13,0.67,9.34,6.12,8.6
01:40.5,0,1.1,17.61,3.21,21.93,0.63,9.22,5.88,9.1
01:40.7,0,1.58,20.17,4.2,25.95,0.67,9.22,6.08,5
01:40.8,0,2.05,22.22,4.94,29.21,0.27,9.41,5.73,8.3
01:40.9,0.28,2.45,24,4.98,31.7,0.71,9.38,5.96,9.2
01:41.1,1.86,4.45,25.2,0,31.51,0.75,9.61,6.24,5
01:41.2,3.31,6.29,6.57,0,16.17,0.04,9.73,6.39,8.6
01:41.3,3.62,7.07,3.78,0,14.46,-0.86,8.67,6.35,9.1
01:41.5,1.76,7.31,1.67,0,10.74,1.06,8.9,7.57,5
01:41.7,0.87,7.79,0.11,0,8.77,0.55,7.65,7.81,8.5
01:41.8,0.71,8.22,0,0,8.93,0.12,8.36,7.65,9.1
01:42.0,0.57,7.41,0,0,7.98,0.35,8.08,7.69,5
01:42.1,0.3,6.6,0,0,6.9,0.78,8.2,7.81,8.4
01:42.2,0.06,5.64,0,0,5.7,0.71,7.65,7.61,9.2
01:42.4,0.09,5.19,0,0,5.28,0.39,8.39,7.65,4.9
01:42.5,0.32,5.33,0,0,5.65,0.86,8.08,7.73,8.6
01:42.6,0.52,5.5,0,0,6.02,0.71,8.28,7.73,9.1
01:42.8,0.55,5.22,0,0,5.77,0.78,7.61,7.96,5
01:42.9,0.64,5.12,0,0,5.76,0.86,7.81,8.43,8.6
01:43.0,0.7,5.13,0,0,5.83,0.94,7.1,8.47,9.2
01:43.2,0.57,5.04,0,0,5.62,0.98,7.37,8.75,5
01:43.4,0.59,5.19,0,0,5.78,0.67,7.18,8.83,8.6
01:43.5,0.51,5.29,0,0,5.81,1.49,6.32,8.98,9
01:43.6,0.45,5.38,0,0,5.83,0.94,7.53,8.94,9.1
01:43.8,0.73,5.07,0,0,5.8,1.1,7.3,9.06,5
01:43.9,1.02,5.04,0,0,6.06,0.75,7.34,8.75,8.6
01:44.0,1.28,5.16,0,0,6.43,0.51,7.18,8.63,9.3
01:44.2,1.49,5.41,0,0,6.9,0.47,7.26,8.71,5
01:44.3,1.41,5.44,0,0,6.86,0.71,6.9,8.51,8.7
01:44.4,1.35,5.19,0,0,6.54,0.67,7.14,8.83,9.3
01:44.6,1.25,4.38,0,0,5.64,1.1,6.12,8.55,5
01:44.8,1.55,4.49,0,0,6.04,0.98,5.96,8.98,4.9
01:44.9,1.77,4.63,0,0,6.4,1.06,6.35,9.34,20
01:45.1,2.05,5.19,0,0,7.23,0.43,6.83,8.83,5
01:45.2,2.18,5.71,0,0,7.88,0.43,6.79,9.26,8.6
01:45.3,2.11,6.3,0,0,8.41,0.59,6.71,9.14,9.1
01:45.5,1.84,6.76,0,0,8.6,0.63,7.1,9.1,5
01:45.6,1.48,6.78,0,0,8.26,1.26,6.83,9.49,8.6
01:45.7,1.34,6.83,0,0,8.17,0.43,5.77,9.49,9
01:45.9,1.2,7.18,0,0,8.38,0.86,6.39,9.18,5
01:46.1,1.15,7.51,0,0,8.67,0.39,6.35,9.69,8.4
01:46.2,1.09,7.85,0,0,8.94,1.65,5.69,9.92,9
01:46.4,0.96,7.65,0,0,8.6,0.98,5.69,9.65,4.9
01:46.5,1.32,8.37,0,0,9.69,0.94,5.3,10.32,8.7
01:46.6,1.32,8.76,0,0,10.08,0.43,5.92,9.65,9
01:46.8,1.32,8.6,0,0,9.91,0.55,6.28,9.49,5
01:46.9,1.21,8.28,0,0,9.49,0.51,6.08,9.38,8.7
01:47.0,1.24,8.13,0,0,9.36,0.59,6.43,9.45,8.8
01:47.2,1.34,8.22,0,0,9.56,0.75,6.32,9.53,5
01:47.3,1.44,8.5,0,0,9.94,-0.04,6.32,9.61,8.7
01:47.5,1.46,9.22,0,0,10.68,0.94,6.35,9.61,8.8
01:47.5,1.41,9.69,0,0,11.1,0.71,6.43,9.49,20
01:47.7,1.14,17.58,0,0,18.73,0.63,4.39,10.9,4.8
01:47.8,1.31,18.1,0,0,19.4,0.04,6,10.51,8.6
01:47.9,1.53,17.98,0,0,19.52,0.47,4.39,9.85,9
01:48.1,0.95,8.52,0,0,9.47,0.75,4.59,10.04,5
01:48.3,0.7,7.39,0,0,8.09,0.78,4.98,10.4,8.6
01:48.4,0.43,6.18,0,0,6.61,0.39,4.47,10.2,9.1
01:48.6,0.21,4.8,0,0,5.01,0.94,4.9,10.32,5
01:48.7,0.36,4.7,0,0,5.07,0.59,4.79,9.69,8.3
01:48.8,0.57,5.04,0,0,5.6,0.27,5.73,9.06,8.8
01:49.0,0.8,5.48,0,0,6.28,0.86,6.83,9.38,5
01:49.1,1.08,5.55,0,0,6.63,-0.31,5.77,9.02,8.6
01:49.2,1.08,5.15,0,0,6.23,1.26,6.59,9.14,9
01:49.4,1.07,4.63,0,0,5.71,-0.08,6.59,9.89,5
01:49.5,1.02,4.91,0,0,5.93,1.37,6.59,9.49,8.6
